N	Time	Hours	Freq(kHz)	Amp	KK	R(km)	AntAz(grad)	AntEl(grad)	NORAD	Name
1	08:43:09.638	8.719344	155591	0.038422	0.879733	489.661114	5.039799	-6.123316	46553	STARLINK-1664
2	08:43:10.591	8.719609	155591	0.046854	0.916324	488.237223	5.348784	-5.303342	46553	STARLINK-1664
3	08:43:10.666	8.719629	155755	0.049890	0.922055	487.881949	5.438452	-5.246755	46553	STARLINK-1664
4	08:43:11.528	8.719869	155591	0.096572	0.970502	486.971721	5.598037	-4.539828	46553	STARLINK-1664
5	08:43:11.606	8.719891	155591	0.089368	0.961159	486.739298	5.633941	-4.478109	46553	STARLINK-1664
6	08:43:12.705	8.720196	155755	0.129132	0.976128	485.259615	5.958399	-3.564943	46553	STARLINK-1664
7	08:43:12.749	8.720208	155755	0.111073	0.974290	485.098117	6.021540	-3.529522	46553	STARLINK-1664
8	08:43:13.861	8.720517	155919	0.118055	0.976507	483.904152	6.313363	-2.664426	46553	STARLINK-1664
9	08:43:14.727	8.720758	155919	0.092284	0.969253	482.908326	6.565214	-2.041675	46553	STARLINK-1664
10	08:43:14.772	8.720770	155919	0.091480	0.969998	482.761734	6.608315	-2.028323	46553	STARLINK-1664
11	08:43:15.621	8.721006	156083	0.063074	0.947489	481.943872	6.847317	-1.299230	46553	STARLINK-1664
12	08:43:16.557	8.721266	156247	0.012357	0.507854	480.950553	7.150901	-0.692813	46553	STARLINK-1664
13	08:43:17.320	8.721478	156083	0.029259	0.818365	480.486834	7.313519	0.361290	46553	STARLINK-1664
14	08:43:18.190	8.721719	156247	0.073281	0.959713	479.841287	7.618737	0.701967	46553	STARLINK-1664
15	08:43:18.973	8.721937	156247	0.111308	0.975198	479.328069	7.825950	1.178211	46553	STARLINK-1664
